restaurant_name,restaurant_type,patio_seating,aftertax_listed,organic
Armandos Mexican Restaurant,Full-Service Restaurants,0,0,0
Basil Mediterranean Bistro,Full-Service Restaurants,1,0,0
Beijing Station,Independent Consumer Foodservice,0,0,0
Bodo's Bagels,Independent Consumer Foodservice,1,0,0
Boylan Heights,Full-Service Restaurants,1,0,0
Christian's Pizza,Pizza Consumer Foodservice,1,0,0
Corner Joe,Cafés/Bars,0,0,0
Corner Juice,Cafés/Bars,0,0,0
Crozet Pizza at Buddhist Biker Bar,Pizza Consumer Foodservice,1,0,0
Crumbs on the Corner,Cafés/Bars,0,0,0
El Jaripeo,Full-Service Restaurants,1,0,0
Farm Bell Kitchen,Full-Service Restaurants,1,0,0
Fig,Full-Service Restaurants,1,0,0
Ginkgo Chinese Restaurant,Full-Service Restaurants,0,0,0
Got Dumplings,Independent Consumer Foodservice,0,0,0
Grit Coffee,Cafés/Bars,1,0,0
Insomnia Cookies,100% Home Delivery/Takeaway,0,0,0
Kuma Sushi Noodles & Bar,Full-Service Restaurants,1,0,0
Kung Fu Tea,Cafés/Bars,0,0,0
Lemongrass,Full-Service Restaurants,0,0,0
Littlejohn's Delicatessen,Independent Consumer Foodservice,0,0,0
Mellow Mushroom,Pizza Consumer Foodservice,1,0,0
Michael's Bistro,Full-Service Restaurants,0,0,0
Pizza Hut,Pizza Consumer Foodservice,0,0,0
Poke Sushi Bowl UVA,Independent Consumer Foodservice,1,0,0
Revolutionary Soup,Independent Consumer Foodservice,0,0,0
Roots Natural Kitchen,Independent Consumer Foodservice,0,0,0
Starbucks,Cafés/Bars,0,0,0
Take It Away,Independent Consumer Foodservice,1,0,0
The Biltmore,Full-Service Restaurants,1,0,0
The College Inn,Full-Service Restaurants,1,0,0
The Juice Laundry,Cafés/Bars,0,1,1
The Pigeon Hole,Full-Service Restaurants,1,0,0
The Virginian,Full-Service Restaurants,1,0,0
Trinity Irish Pub,Full-Service Restaurants,1,0,0
White Spot,Full-Service Restaurants,0,0,0
